DATE,GDP
2010-01-01,14764.611
2010-04-01,14980.193
2010-07-01,15141.605
2010-10-01,15309.471
2011-01-01,15351.444
2011-04-01,15557.535
2011-07-01,15647.681
2011-10-01,15842.267
2012-01-01,16068.824
2012-04-01,16207.13
2012-07-01,16319.54
2012-10-01,16420.386
2013-01-01,16629.05
2013-04-01,16699.551
2013-07-01,16911.068
2013-10-01,17133.114
2014-01-01,17144.281
2014-04-01,17462.703
2014-07-01,17743.227
2014-10-01,17852.54
2015-01-01,17991.348
2015-04-01,18193.707
2015-07-01,18306.96
2015-10-01,18332.079
2016-01-01,18425.306
2016-04-01,18611.617
2016-07-01,18775.459
2016-10-01,18968.041
2017-01-01,19148.194
2017-04-01,19304.506
2017-07-01,19561.896
2017-10-01,19894.75
2018-01-01,20155.486
2018-04-01,20470.197
2018-07-01,20687.278
2018-10-01,20819.269
2019-01-01,21013.085
2019-04-01,21272.448
2019-07-01,21531.839
2019-10-01,21706.532
2020-01-01,21538.032
2020-04-01,19636.731
2020-07-01,21362.428
2020-10-01,21704.706
